itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
100.596UK,BTTR2,Bluetooth Receiver & Transmitter V2,Bluetooth 2-in-1 Audio Transmitter & Receiver,"An amazing and compact Bluetooth device that will open a new world of wireless audio enjoyment both at home or on the move. Simply connect using the audio cable provided to your TV, projector or other audio device and stream wirelessly to Bluetooth headphones, speakers or soundbars. Alternatively connect to a set of traditional headphones, amplifier or in-car entertainment system and you can then pair with your smartphone, tablet or other Bluetooth devices. With Multi-point support for shared listening, a 10m transmission/reception range and in-built rechargeable battery providing up to 8 hours playback from a single charge, this handy little device really is your perfect Bluetooth partner!","Make any device with a 3.5mm or RCA audio connection Bluetooth compatible[br]Transmitter will connect Bluetooth headphones, speakers or sound-bars to LED TV's and projectors[br]Receiver will connect smartphones, tablets and MP3 players to headphones, amplifiers or car audio systems[br]Multi-point Bluetooth capability allows you to connect to 2 devices at the same time, ideal for shared listening[br]Wireless Bluetooth range of up to 10m[br]Transmits audio for up to 8 hours on a single charge[br]Receives audio for up to 6 hours on a single charge[br]Improved design that's compact and easier to use","Bluetooth version[tab]v4.2 with multipoint support[br]Bluetooth profile[tab]APTX, A2DP, AVRCP[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Operating time[tab]Up to 8 hours (transmit), 6 hours (receive)[br]Charge time[tab]2 hours[br]Battery[tab]200mAh[br]Dimensions[tab]42 x 42 x 10mm[br]Weight[tab]20g",,AV:Link,0.074,06/06/2023 11:58,770,"1,203,204,770",Headphones -> Bluetooth -> Receivers/Transmitters,headphones/bluetooth/receivers-transmitters,100+,24.99,https://www.avsl.com/assets/images/1/0/100596UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100596UK_IN2.jpg
100.598UK,,Multifunction Audio Convertor and Bluetooth Receiver,Multifunction Audio Convertor and Bluetooth Receiver,"An extremely versatile USB powered unit housed in a sleek aluminium chassis that converts Bluetooth and many other formats of digital audio to analogue. Supplied with an IR remote control and wide range of connection cables this handy little device is easy to install and operate and is ideal for use with games consoles, LED TVs, projectors and Blu-ray players that have no RCA or 3.5mm audio outputs.","Converts many formats of digital media to analogue RCA (L/R) and AUX (3.5mm) outputs[br]Bluetooth 5.1 connectivity for audio streaming from smart devices[br]Simple plug and play installation and instant synchronisation without delay[br]Ideal for use with games consoles, LED TVs, projectors, Blu-ray players etc that have no RCA or 3.5mm headphone output[br]Integrated USB media player and Power/Volume control knob[br]Supplied with IR remote control and a wide range of connecting leads[br]DC jack to USB power lead supplied","Bluetooth version[tab]V5.1[br]Input connections[tab]Bluetooth, Mic, Aux (3.5mm), USB, Toslink, Coaxial[br]Output connections[tab]AUX (3.5mm), RCA (L&R)[br]Dimensions[tab]110 x 25 x 85mm[br]Weight[tab]125g[br]Power : input[tab]DC/5V (USB lead supplied)[br]Bluetooth range[tab]15m (obstruction free)[br]Remote : battery[tab]CR2025 (supplied)[br]Bluetooth profile[tab]A2DP and AVRCP",,AV:Link,0.286,30/05/2023 11:12,770,"1,203,204,770",Headphones -> Bluetooth -> Receivers/Transmitters,headphones/bluetooth/receivers-transmitters,100+,31.99,https://www.avsl.com/assets/images/1/0/100598UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100598UK_CO4.jpg
100.615UK,Effect,Portable Bluetooth Party Speaker,Effect: Portable Bluetooth Party Speaker,"Take the party with you wherever you go, with a portable Bluetooth speaker with colourful LED light show. Perfect for karaoke kings and queens, simply connect the microphone to showcase your talents and record sing-alongs with the voice record function. Play your tunes via Bluetooth from your smart device, use the inbuilt media ports or even FM radio. This speaker is light enough to be carried by shoulder strap and features an internal rechargeable battery with up to 3 hours power from a single charge.","Stylish and rugged design[br]Connect to your smart device via Bluetooth[br]Wired microphone included for karaoke and voice record functions[br]LED colour light effect in grille[br]Media player with inbuilt FM/USB/AUX and Microphone ports[br]Internal rechargeable battery with up to 3 hours playback[br]Ideal for karaoke, house parties, kids' rooms and more[br]Smartphone/tablet holder","Speaker[tab]6.5"" Driver 10W RMS[br]Impedance[tab]4.0 Ohms[br]Bluetooth version[tab]5.0+EDR[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Battery type[tab]3.7V 2200mA internal rechargeable Lithium Ion[br]Battery life[tab]Up to 3 hours (at max volume)[br]Input connections[tab]Bluetooth, USB, AUX (3.5mm), MIC (6.3mm) micro USB (DC 5V/1A - charge only)[br]FM frequency range[tab]87.5MHz-108MHz[br]Power : input[tab]DC 5V/1A[br]Dimensions[tab]300 x 250 x 180mm[br]Weight[tab]1.65kg[br]Frequency range[tab]70Hz-18KHz[br]Charge time[tab]3 hours from flat",,QTX,2.45,25/03/2024 7:49,1195,"18,301,195",Portable PA Systems -> Party Series,portable-pa-systems/party-series,100+,49,https://www.avsl.com/assets/images/1/0/100615UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100615UK_CO3.jpg
100.616UK,MSH40,"MSH40, Mono/stereo headphones with volume control",Mono/Stereo Headphones with Volume Control,"These full sized hi-fi headphones feature a mono/stereo switch, independent left and right volume controls, adjustable padded headband and cushioned circumaural earpads. The great sound quality and robust construction make them very popular for use in the education sector.",Adjustable circumaural earpads[br]Switchable between mono/stereo[br]Independent left and right volume controls[br]Mylar speakers with anisotropic ferrite magnets[br]Supplied with 3.5mm to 6.3mm stereo jack adaptor[br]Single side coiled lead,Cable[tab]1.2m[br]Connector[tab]3.5mm stereo jack[br]Frequency response[tab]20Hz-20kHz[br]Impedance[tab]32 Ohms[br]Power[tab]100mW[br]Sensitivity[tab]105dB ±3dB[br]Speaker size[tab]40mmØ,,AV:Link,0.4,12/07/2023 11:50,212,"1,203,212",Headphones -> Full Size,headphones/full-size,500+,15.99,https://www.avsl.com/assets/images/1/0/100616UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100616UK_CO2.jpg
100.619UK,PartyPod,16W Bluetooth Speaker with RGB Light Effect,PartyPod: Bluetooth Speaker with LED Light Show,"Take the party with you, with cutting edge features, LED light show and powerful sound. Offering the latest Bluetooth connectivity for ultimate device compatibility, the QTX PartyPod can go anywhere due to its splashproof design, handy carry strap and up to 6 hours playback from a single charge. Inbuilt FM radio, USB and TF/Micro SD slots add to its versatility, enabling direct playback of MP3 files from compatible media. Connect to a 2nd unit using the TWS function to enhance your sound experience to true wireless stereo.","Direct MP3 playback via inbuilt USB and Micro SD ports[br]Internal rechargeable battery with up to 6 hours playback[br]Dual LED colour light show effect in front grille[br]Connect to your smart device via Bluetooth[br]Stylish and rugged design with IPX4 splash resistance[br]True wireless stereo (TWS) function for connection to a second unit[br]Twin speaker design delivers deep bass and clear, crisp treble[br]Inbuilt FM radio and microphone for hands-free phone calls[br]Auto power off when not in use to save on battery life","Audio output[tab]2x 8W[br]Frequency response[tab]20Hz-16KHz[br]Speaker : drivers[tab]2 x 52mm[br]Bluetooth version[tab]5.0[br]Battery type[tab]3.7V 2400mA internal rechargeable lithium ion[br]Battery life[tab]Up to 6 hours[br]Charge time[tab]Up to 4 hours (from flat)[br]Input connections[tab]Bluetooth, USB, Micro SD (TF Card), USB Type-C (DC 5V/2A - charge only)[br]Power : input[tab]DC 5V/2A[br]Dimensions[tab]240 x 94 x 94mm[br]Weight[tab]840g[br]IP rating[tab]IPX4",,QTX,1.02,06/06/2023 11:39,1195,"18,301,195",Portable PA Systems -> Party Series,portable-pa-systems/party-series,100+,29.99,https://www.avsl.com/assets/images/1/0/100619UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100619UK_CO2.jpg
100.625UK,SH40VC,SH40VC Stereo Headphones,Stereo Headphones with In-line Volume Control,"Stylish headphones with in-line volume control. Featuring padded, flexible ear cups and an adjustable headband for a perfect, comfortable fit.",In-line volume control[br]Both headband and earcups are padded and easy to wipe clean[br]Supplied with gold plated 3.5mm to 6.3mm stereo jack adaptor,Cable[tab]2.7m (±10%)[br]Connector[tab]3.5mm stereo jack[br]Frequency response[tab]20Hz-20kHz[br]Impedance[tab]32 Ohms[br]Power[tab]100mW[br]Sensitivity[tab]95±3dB @ 1kHz[br]Speaker size[tab]40mmØ,,AV:Link,0.317,02/05/2023 15:46,212,"1,203,212",Headphones -> Full Size,headphones/full-size,1000+,15.99,https://www.avsl.com/assets/images/1/0/100625UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100625UK_CO2.jpg
100.642UK,Isolate SE,Active Noise Cancelling Bluetooth Headphones,Isolate SE: Active Noise Cancelling Bluetooth Headphones,"Introducing Isolate SE: the headphones that let you escape. Active noise cancelling blocks out background noise allowing you to focus solely on the music. Bluetooth connectivity gives you freedom to listen wirelessly wherever you go, with up to 24 hours of continuous playback catering for longer journeys. Lightweight, comfortable design with soft cushioned earcups incorporating intuitive controls to handle your music and receive hands-free calls with ease. When you are finished, simply fold them away and store in the hard-shell carry case for ultimate protection.","Digital active noise cancelling, isolates you from the outside world[br]Super soft cushioned earcups and lightweight design for optimum comfort over prolonged periods[br]40mmØ professional neodymium drivers deliver a deep rich sound experience[br]Foldable headband and swivel earcups provide the perfect fit[br]Bluetooth 5.0 connectivity for optimum transmission speed up to 10m away from device[br]Earcup controls for track selection, volume and hands-free calls[br]Supplied with hard-shell carry case, USB Type-C charging lead and 3.5mm audio lead[br]Inbuilt rechargeable battery provides up to 24 hours continuous playback[br]Built in microphone for hands-free phone calls","Power supply[tab]Internal rechargeable 400mAh Lithium-ion battery[br]Battery life[tab]Up to 15 hours (ANC Mode), up to 24 hours (BT mode) @ 50% volume[br]Charge time[tab]2.5 hours[br]Speaker : driver[tab]40mmØ[br]Frequency response[tab]20-20kHz[br]Sensitivity[tab]110±3db[br]Noise cancellation[tab]-23db[br]Impedance[tab]32 Ohms[br]Connections[tab]Bluetooth, 3.5mm stereo jack, USB Type-C (charging)[br]Bluetooth version[tab]v5.0[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Weight[tab]225g",,AV:Link,0.78,27/07/2022 14:01,205,"1,203,204,205",Headphones -> Bluetooth -> Full Size,headphones/bluetooth/full-size,100+,34.99,https://www.avsl.com/assets/images/1/0/100642UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100642UK_LS7.jpg
100.805UK,CH850-BLK,Kids Headphones Black,Children's Headphones with in-line Microphone,A bright and colourful range of headphones designed with younger listeners in mind. The built-in volume limiter keeps hearing protected and the in-line hands-free microphone and enclosed splitter cable also makes them suitable to use as a headset for PC's and laptops.,Bright and attractive colour scheme[br]Soft adjustable headband and cushioned earcups provide comfort and support[br]In-line microphone and hands-free control[br]Built-in volume limiter to 90dB maximum output[br]Supplied with headphone/microphone splitter cable for PC/Laptop connection,Cable : length[tab]1.2m[br]Connector[tab]3.5mm stereo jack[br]Frequency response[tab]20Hz-22kHz[br]Impedance[tab]32 kOhms ±15%[br]Power : output[tab]90dB max.[br]Microphone : input impedance[tab]2.2 kOhms[br]Microphone : input sensitivity[tab]-42 ±3dB[br]Driver[tab]40mmØ speaker,Colour[tab]Black,AV:Link,0.17,22/06/2021 11:20,213,"1,203,213",Headphones -> Lightweight,headphones/lightweight,0,10.99,https://www.avsl.com/assets/images/1/0/100805UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100805UK_IN1.jpg
100.806UK,CH850-BLU,Kids Headphones Blue,Children's Headphones with in-line Microphone,A bright and colourful range of headphones designed with younger listeners in mind. The built-in volume limiter keeps hearing protected and the in-line hands-free microphone and enclosed splitter cable also makes them suitable to use as a headset for PC's and laptops.,Bright and attractive colour scheme[br]Soft adjustable headband and cushioned earcups provide comfort and support[br]In-line microphone and hands-free control[br]Built-in volume limiter to 90dB maximum output[br]Supplied with headphone/microphone splitter cable for PC/Laptop connection,Cable : length[tab]1.2m[br]Connector[tab]3.5mm stereo jack[br]Frequency response[tab]20Hz-22kHz[br]Impedance[tab]32 kOhms ±15%[br]Power : output[tab]90dB max.[br]Microphone : input impedance[tab]2.2 kOhms[br]Microphone : input sensitivity[tab]-42 ±3dB[br]Driver[tab]40mmØ speaker,Colour[tab]Blue,AV:Link,0.17,22/06/2021 11:20,213,"1,203,213",Headphones -> Lightweight,headphones/lightweight,100+,10.99,https://www.avsl.com/assets/images/1/0/100806UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100806UK_CO5.jpg
100.898UK,BC3-W,BC3W 3inch Stereo Speakers White Pair,BC Series Stereo Background Speakers,"Industry standard indoor speakers with ABS enclosures and a powder coated steel grille grille. Wall or ceiling surface mounting via the adjustable steel bracket. Each with standard 8 Ohms impedance and supplied in pairs for connection from a stereo amplifier. Main drivers have high quality coated paper cones for full-sounding low and mid-range frequencies, ideal for music playback and clear voice announcements.",2-way speakers[br]Complete with mounting brackets[br]Supplied in pairs[br]Available in Black and White[br]Note: Connecting leads not supplied[br]Optional mounting by M6 screw sockets,,"Woofer[tab]75mmØ (3“)[br]Tweeter[tab]25mmØ  (1"") balanced dome tweeter[br]Power rms[tab]30W[br]Power max.[tab]60W[br]Colour[tab]White[br]Frequency response[tab]120Hz - 20kHz[br]Sensitivity[tab]88dB[br]Dimensions (each)[tab]106 x 153 x 106mm[br]Weight[tab]840g[br]Weight per set[tab]1.7kg[br]Impedance[tab]8 ohm",Adastra,1.7,19/09/2023 12:04,103,"1,100,101,103",Loudspeakers -> Background -> Low Impedance,loudspeakers/background/low-impedance,100+,39.99,https://www.avsl.com/assets/images/1/0/100898UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100898UK_CO2.jpg
100.899UK,BC3-B,BC3B 3inch Stereo Speakers Black Pair,BC Series Stereo Background Speakers,"Industry standard indoor speakers with ABS enclosures and a powder coated steel grille grille. Wall or ceiling surface mounting via the adjustable steel bracket. Each with standard 8 Ohms impedance and supplied in pairs for connection from a stereo amplifier. Main drivers have high quality coated paper cones for full-sounding low and mid-range frequencies, ideal for music playback and clear voice announcements.",2-way speakers[br]Complete with mounting brackets[br]Supplied in pairs[br]Available in Black and White[br]Note: Connecting leads not supplied[br]Optional mounting by M6 screw sockets,,"Woofer[tab]75mmØ (3“)[br]Tweeter[tab]25mmØ  (1"") balanced dome tweeter[br]Power rms[tab]30W[br]Power max.[tab]60W[br]Colour[tab]Black[br]Frequency response[tab]120Hz - 20kHz[br]Sensitivity[tab]88dB[br]Dimensions (each)[tab]106 x 153 x 106mm[br]Weight[tab]840g[br]Weight per set[tab]1.7kg[br]Impedance[tab]8 ohm",Adastra,1.7,19/09/2023 12:04,103,"1,100,101,103",Loudspeakers -> Background -> Low Impedance,loudspeakers/background/low-impedance,100+,39.99,https://www.avsl.com/assets/images/1/0/100899UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100899UK_TD1.jpg
